customer_id,signup_date,region,customer_status,customer_segment,lifetime_value
6,2024-05-09,south,active,enterprise,1427.04
7,2022-01-14,south,active,premium,1734.24
8,2022-11-15,south,active,standard,509.09
9,2022-07-18,midwest,inactive,enterprise,1459.38
10,2022-03-30,west,churned,standard,4966.92
11,2024-02-15,northeast,churned,premium,4255.55
12,2025-06-20,midwest,churned,standard,3637.63
13,2022-04-04,,inactive,standard,4283.82
14,2022-07-26,,inactive,premium,3196.64
15,2024-01-18,south,inactive,premium,1087.06
16,2023-07-01,northeast,churned,enterprise,897.14
17,2023-05-17,south,inactive,premium,1386.24
18,2025-08-03,south,churned,premium,4222.12
19,2022-04-25,south,active,premium,2035.77
20,2022-05-16,south,churned,enterprise,1607.66
21,2025-09-04,west,inactive,enterprise,2321.32
22,2023-06-27,south,active,enterprise,2828.77
23,2023-06-23,west,churned,premium,1841.88
24,2022-10-11,west,active,standard,4312.46
25,2022-11-10,south,churned,premium,3002.22
26,2024-02-28,west,churned,premium,2669.12
27,2025-02-07,northeast,churned,enterprise,617.03
28,2025-01-04,midwest,churned,premium,602.18
29,2024-06-09,south,inactive,standard,4771.39
30,2023-06-24,south,churned,standard,4359.07
31,2023-09-04,south,active,premium,3824.43
32,2025-01-09,northeast,churned,premium,2468.6
33,2022-08-18,midwest,inactive,standard,336.73
34,2025-03-07,northeast,active,enterprise,2455.65
35,2022-05-22,south,active,enterprise,2402.65
36,2025-01-30,south,inactive,enterprise,4368.54
37,2024-05-16,south,churned,enterprise,3464.84
38,2023-10-01,west,churned,enterprise,1898.43
39,2024-11-25,west,active,standard,1162.25
40,2023-11-24,northeast,churned,enterprise,1189.07
41,2023-03-28,northeast,active,enterprise,3173.96
42,2023-04-14,northeast,active,premium,400.74
43,2023-05-03,midwest,churned,premium,1110.47
44,2022-09-28,west,active,premium,4047.11
45,2023-01-25,northeast,active,enterprise,2183.7
46,2024-05-17,west,inactive,enterprise,318.15
47,2025-08-31,northeast,active,premium,3654.66
48,2022-08-12,south,active,standard,2704.61
49,2022-10-15,west,active,premium,2340.01
50,2022-06-04,west,churned,standard,300.41
51,2025-01-12,northeast,active,standard,873.24
52,2024-09-21,west,active,premium,4517.09
53,2022-12-04,west,active,premium,1362.76
54,2024-07-20,midwest,inactive,enterprise,4788.72
55,2025-02-12,west,active,standard,1518.7
56,2022-04-30,northeast,churned,premium,332.97
57,2025-04-11,west,churned,enterprise,829.29
58,2024-11-06,northeast,active,standard,2995.42
59,2025-10-14,south,inactive,standard,4710.9
60,2025-03-12,south,churned,enterprise,246.72
61,2022-06-17,west,churned,enterprise,2847.87
62,2023-10-10,midwest,active,enterprise,3595.15
63,2023-05-04,midwest,inactive,standard,3374.87
64,2023-09-07,west,inactive,standard,96.11
