order_id,customer_id,order_date,channel,region,product,quantity,unit_price,revenue,status
100001,1102,2026-05-27,web,northeast,premium,1,79.99,79.99,completed
100002,1435,2026-04-28,phone,south,basic,4,79.99,319.96,completed
100003,1270,2026-05-23,web,south,basic,2,19.99,39.98,completed
100004,1106,2026-05-06,web,west,enterprise,3,29.99,89.97,completed
100005,1071,2026-06-05,phone,midwest,basic,4,19.99,79.96,completed
100006,1700,2026-06-01,phone,south,basic,3,49.99,149.97,completed
100007,1020,2026-03-13,web,northeast,premium,4,79.99,319.96,completed
100008,1614,2026-04-17,web,northeast,premium,2,19.99,39.98,completed
100009,1121,2026-05-17,phone,northeast,premium,3,29.99,89.97,completed
100010,1466,2026-06-24,store,west,basic,3,79.99,239.97,completed
100011,1214,2026-02-02,store,west,enterprise,1,29.99,29.99,completed
100012,1330,2026-01-19,phone,west,premium,4,49.99,199.96,completed
100013,1458,2026-03-15,web,west,premium,4,19.99,79.96,completed
100014,1087,2026-06-17,web,northeast,basic,4,49.99,199.96,completed
100015,1372,2026-06-24,web,northeast,basic,1,79.99,79.99,completed
100016,1099,2026-06-06,web,west,basic,1,19.99,19.99,completed
100017,1663,2026-06-27,phone,west,basic,3,79.99,239.97,completed
100018,1130,2026-04-08,web,northeast,basic,4,19.99,79.96,completed
100019,1661,2026-05-21,web,west,basic,4,29.99,119.96,completed
100020,1308,2026-05-09,store,west,premium,3,79.99,239.97,completed
100021,1769,2026-06-11,web,west,premium,3,49.99,149.97,completed
100022,1343,2026-04-03,web,west,premium,3,49.99,149.97,completed
100023,1491,2026-06-25,web,south,basic,2,29.99,59.98,completed
100024,1413,2026-02-17,phone,west,basic,2,29.99,59.98,completed
100025,1385,2026-06-26,phone,northeast,basic,3,49.99,149.97,completed
100026,1191,2026-03-05,web,northeast,basic,1,29.99,29.99,completed
100027,1276,2026-03-02,web,northeast,basic,1,19.99,19.99,completed
100028,1160,2026-06-06,phone,northeast,basic,4,49.99,199.96,refunded
100029,1459,2026-02-08,store,west,enterprise,2,79.99,159.98,completed
100030,1313,2026-05-08,store,south,premium,2,49.99,99.98,completed
100031,1021,2026-03-29,store,midwest,premium,3,29.99,89.97,completed
100032,1252,2026-01-26,phone,midwest,enterprise,3,19.99,59.97,completed
100033,1747,2026-01-17,web,midwest,premium,3,79.99,239.97,completed
100034,1560,2026-03-12,web,midwest,premium,3,49.99,149.97,completed
100035,1474,2026-01-13,web,northeast,premium,3,49.99,149.97,completed
100036,1058,2026-03-10,phone,west,premium,1,79.99,79.99,completed
100037,1510,2026-01-26,store,west,premium,1,19.99,19.99,completed
100038,1681,2026-02-18,web,midwest,basic,3,29.99,89.97,completed
100039,1475,2026-01-07,web,midwest,premium,1,29.99,29.99,completed
100040,1699,2026-02-27,web,south,enterprise,3,29.99,89.97,completed
100041,1782,2026-02-18,store,south,premium,3,29.99,89.97,refunded
100042,1189,2026-04-13,phone,south,basic,2,79.99,159.98,cancelled
100043,1686,2026-02-22,store,northeast,basic,1,19.99,19.99,completed
100044,1562,2026-03-03,store,west,premium,1,19.99,19.99,completed
100045,1566,2026-01-17,store,northeast,enterprise,2,49.99,99.98,completed
100046,1243,2026-06-20,phone,northeast,basic,1,49.99,49.99,completed
100047,1504,2026-01-25,phone,west,premium,2,19.99,39.98,completed
100048,1130,2026-05-11,web,south,enterprise,4,49.99,199.96,completed
100049,1484,2026-01-29,web,west,basic,1,19.99,19.99,completed
100050,1646,2026-04-27,web,midwest,premium,3,79.99,239.97,cancelled
100051,1020,2026-06-09,web,south,basic,2,79.99,159.98,completed
100052,1166,2026-01-26,store,west,premium,3,29.99,89.97,completed
100053,1273,2026-05-04,web,northeast,premium,3,19.99,59.97,completed
100054,1387,2026-05-24,store,west,premium,1,79.99,79.99,completed
100055,1600,2026-01-25,web,south,premium,2,19.99,39.98,cancelled
100056,1315,2026-02-23,web,midwest,basic,4,49.99,199.96,completed
100057,1013,2026-06-05,store,northeast,enterprise,3,19.99,59.97,completed
100058,1241,2026-03-14,web,midwest,premium,3,29.99,89.97,cancelled
100059,1776,2026-04-30,web,midwest,premium,4,29.99,119.96,completed
100060,1345,2026-02-25,web,northeast,basic,2,79.99,159.98,refunded
100061,1564,2026-03-06,phone,west,basic,1,49.99,49.99,completed
100062,1339,2026-04-03,web,west,basic,3,49.99,149.97,completed
100063,1091,2026-03-27,phone,midwest,enterprise,1,19.99,19.99,completed
100064,1366,2026-03-21,phone,west,basic,2,49.99,99.98,cancelled
100065,1454,2026-06-18,phone,south,enterprise,4,29.99,119.96,completed
100066,1427,2026-04-18,phone,midwest,premium,1,79.99,79.99,completed
100067,1508,2026-06-28,web,midwest,premium,2,79.99,159.98,completed
100068,1775,2026-04-28,web,midwest,premium,1,79.99,79.99,completed
100069,1034,2026-06-06,store,south,premium,1,49.99,49.99,completed
100070,1205,2026-03-24,web,midwest,premium,3,49.99,149.97,completed
100071,1080,2026-05-27,web,west,basic,1,29.99,29.99,completed
100072,1561,2026-06-18,web,west,premium,3,19.99,59.97,completed
100073,1387,2026-06-22,store,west,premium,2,19.99,39.98,cancelled
100074,1001,2026-01-15,web,west,premium,2,79.99,159.98,completed
100075,1389,2026-05-11,web,midwest,premium,3,79.99,239.97,completed
100076,1565,2026-05-19,phone,south,basic,4,49.99,199.96,completed
100077,1105,2026-06-30,phone,northeast,basic,1,79.99,79.99,completed
100078,1771,2026-06-23,web,west,premium,2,29.99,59.98,completed
100079,1476,2026-01-30,web,northeast,basic,2,29.99,59.98,completed
100080,1702,2026-02-26,phone,northeast,premium,4,79.99,319.96,completed
100081,1401,2026-05-26,store,midwest,basic,2,79.99,159.98,completed
100082,1729,2026-06-28,phone,west,basic,3,79.99,239.97,completed
100083,1555,2026-05-08,web,west,basic,4,79.99,319.96,completed
100084,1161,2026-02-17,web,west,premium,2,79.99,159.98,completed
100085,1201,2026-05-16,store,northeast,premium,4,29.99,119.96,completed
100086,1269,2026-01-22,store,west,premium,4,19.99,79.96,completed
100087,1270,2026-01-06,web,west,enterprise,2,29.99,59.98,completed
100088,1455,2026-04-14,web,south,basic,2,29.99,59.98,completed
100089,1461,2026-02-05,phone,midwest,basic,2,79.99,159.98,completed
100090,1726,2026-03-20,web,west,premium,4,19.99,79.96,completed
100091,1251,2026-04-26,web,west,premium,3,79.99,239.97,completed
100092,1701,2026-02-26,web,midwest,basic,3,29.99,89.97,completed
100093,1295,2026-02-18,web,midwest,enterprise,1,19.99,19.99,completed
100094,1724,2026-06-22,web,northeast,enterprise,2,49.99,99.98,cancelled
100095,1719,2026-03-23,phone,northeast,basic,3,79.99,239.97,completed
100096,1748,2026-03-07,web,northeast,basic,1,49.99,49.99,completed
100097,1337,2026-03-18,web,midwest,premium,1,49.99,49.99,completed
100098,1052,2026-02-14,web,south,basic,2,49.99,99.98,completed
100099,1791,2026-03-20,web,west,basic,1,49.99,49.99,completed
100100,1216,2026-01-20,web,midwest,premium,3,19.99,59.97,completed
100101,1763,2026-05-03,web,south,basic,1,79.99,79.99,cancelled
100102,1187,2026-03-08,phone,midwest,basic,1,19.99,19.99,completed
100103,1379,2026-03-24,web,south,basic,3,79.99,239.97,completed
100104,1492,2026-01-03,web,midwest,premium,1,79.99,79.99,completed
100105,1040,2026-03-05,web,midwest,premium,1,79.99,79.99,completed
100106,1156,2026-02-09,web,south,basic,4,19.99,79.96,completed
100107,1014,2026-02-28,store,south,basic,1,29.99,29.99,completed
100108,1064,2026-03-03,web,south,premium,1,49.99,49.99,completed
100109,1520,2026-05-12,store,south,enterprise,4,29.99,119.96,completed
100110,1343,2026-03-01,web,south,enterprise,4,29.99,119.96,completed
100111,1128,2026-04-26,store,south,basic,4,29.99,119.96,completed
100112,1647,2026-03-16,web,south,premium,2,49.99,99.98,completed
100113,1471,2026-05-02,phone,south,premium,2,29.99,59.98,completed
100114,1062,2026-04-17,web,midwest,premium,3,49.99,149.97,completed
100115,1138,2026-04-06,web,south,premium,1,49.99,49.99,completed
100116,1498,2026-04-01,store,south,basic,3,49.99,149.97,completed
100117,1592,2026-06-07,phone,midwest,premium,2,79.99,159.98,completed
100118,1391,2026-05-10,web,midwest,basic,1,79.99,79.99,completed
100119,1674,2026-03-03,web,northeast,basic,1,29.99,29.99,completed
100120,1418,2026-02-18,web,northeast,premium,4,79.99,319.96,completed
100121,1288,2026-05-17,store,south,enterprise,2,49.99,99.98,completed
100122,1378,2026-04-02,web,south,basic,1,79.99,79.99,cancelled
100123,1772,2026-06-08,web,northeast,premium,4,49.99,199.96,cancelled
100124,1489,2026-05-04,phone,northeast,basic,1,19.99,19.99,completed
100125,1230,2026-03-02,store,west,enterprise,2,79.99,159.98,completed
100126,1040,2026-02-17,phone,west,premium,3,29.99,89.97,completed
100127,1027,2026-06-02,phone,south,basic,3,19.99,59.97,completed
100128,1134,2026-06-13,phone,west,basic,1,19.99,19.99,completed
100129,1200,2026-05-16,web,northeast,basic,4,79.99,319.96,completed
100130,1779,2026-02-27,web,south,basic,4,79.99,319.96,completed
100131,1032,2026-04-11,store,midwest,basic,4,29.99,119.96,completed
100132,1047,2026-04-22,web,midwest,premium,2,19.99,39.98,completed
100133,1502,2026-06-22,store,northeast,basic,3,49.99,149.97,refunded
100134,1406,2026-03-03,web,west,premium,3,79.99,239.97,completed
100135,1573,2026-02-08,web,midwest,basic,1,19.99,19.99,completed
100136,1727,2026-02-27,store,west,premium,3,19.99,59.97,completed
100137,1098,2026-04-09,phone,midwest,basic,4,49.99,199.96,completed
